Player,Avg SG Putting,Avg putts per round,one putt %,three putt %,Avg # of putts,2017 scoring avg,2018 scoring avg,2017 money,2018 money,world golf ranking,events
"Murray, Grayson",-0.082,28.68,39.94,2.84,1.593,71.064,72.664,1468728,587312,115,52
"Poston, J.T.",-0.096,28.84,40.23,2.43,1.602,70.982,71.724,662565,436269,324,52
"Kizzire, Patton",-0.103,29.09,39.55,3.44,1.616,71.598,69.7,1110395,2961988,60,52
"Holmes, J.B.",-0.109,28.88,40.57,3.36,1.605,70.66,71.626,1353584,365674,88,49
"Randolph, Jonathan",-0.11,28.92,39.24,3.17,1.607,71.642,71.942,511032,343430,261,52
"Watney, Nick",-0.113,29.45,36.55,3.22,1.636,70.685,71.632,824162,115018,349,40
"Steele, Brendan",-0.113,29.3,37.9,3.17,1.628,70.503,70.402,2907095,1832041,39,49
"Stroud, Chris",-0.126,29.03,39.74,3.3,1.613,70.815,72.402,1308445,246163,177,52
"Herman, Jim",-0.127,29.77,35.56,3.04,1.654,70.931,73.21,1205632,46962,220,52
"Finau, Tony",-0.133,29.26,38.41,2.99,1.626,69.987,69.581,2838629,1901356,33,52
"Kaufman, Smylie",-0.137,29.24,39.2,2.97,1.624,71.432,73.279,784758,201136,282,52
"Grillo, Emiliano",-0.141,29.33,38.12,3.51,1.63,70.798,70.812,1567015,430061,86,52
"McIlroy, Rory",-0.143,28.75,40.74,3.59,1.597,69.529,70.714,2430182,78000,10,42
"Crane, Ben",-0.155,29.13,38.19,2.46,1.618,71.091,71.927,618483,69977,446,52
"Bradley, Keegan",-0.155,29.4,37.96,3.21,1.633,70.437,70.377,1940478,1102089,69,52
"Kraft, Kelly",-0.157,29.32,38.42,3.13,1.629,71.491,72.258,1638045,159445,234,52
"Watson, Bubba",-0.165,29.29,38.98,3.62,1.627,71.175,70.427,1223129,1387367,40,46
"DeChambeau, Bryson",-0.175,29.16,38.39,3.25,1.62,70.866,70.481,1817054,754387,93,52
"Taylor, Nick",-0.191,29.38,38.13,3.68,1.632,70.817,71.044,1255259,531637,196,52
"Grace, Branden",-0.192,29.49,37.48,3.62,1.638,70.862,70.527,1315054,411712,28,52
"Percy, Cameron",-0.205,29.78,37.09,3.76,1.655,71.03,72,623694,32753,426,47
"Lamb, Rick",-0.254,29.44,38,3.11,1.636,71.978,73.088,524372,14136,433,47
"Cauley, Bud",-0.268,29.3,37.88,2.59,1.628,70.432,70.917,1553685,604909,113,45
"Every, Matt",-0.272,28.94,40.32,3.97,1.608,72.671,72.433,351412,48316,771,52
"Streelman, Kevin",-0.281,29.47,38.26,3.6,1.637,70.873,70.122,1313327,794659,131,52
"Campbell, Chad",-0.286,29.51,36.37,2.63,1.639,70.509,72.221,1329941,102094,254,52
